Applicationid,Underwriter,Amountfinanced,Term,Status,Dealername,Dealergroup,Dealerstate,Dealercity,Applicationdate Date,Approvaldate Date,Bookeddate Date,Collateralyear,Collateraltype,Collateralnewused,Coficoauto8,Dti,Pti,Dealerrepresentative,Timetobook,Timetodecision,Dealerminimumrate,Cashdown,Totaldown,Isbusinessapp,Timetolastfund,Timetolastdecisiontolastcontract,Apr,Programmanual,Programdefault,Ltv,Dealerreserveamount,Dealerreservepercent,Backend,Invoice,Primaryficoauto8,Lender,Primarystate,Applicationsubmitteduser,Wasapproved,Wasapprovednotbooked,Clientdealerid,Class
252255,ahunt,29734.04,180,Auto Approval,SUSQUEHANNA VALLEY RV - SELINSGROVE - PA115,,PA,SELINSGROVE,2026-08-25,2026-08-25,,2026,RV,New,,44.96,8.14,jharrington1,,14,9.49,500,500,false,,,10.99,Core,Core,0.85,0,,0,34800,758,Source One Financial Services,PA, danielle wagner,1,1,PA115,Core
252169,avera,30000,144,Booked,O'CONNELL YACHTS-SC129,,SC,Boiling Springs,2026-08-25,2026-08-26,2026-08-26,2023,Boat,Used,770,14.22,3.89,jsmith,1840,1801,7.99,3000,3000,false,39,0,8.74,Core,Core,0.94,900,3,0,31765,828,Source One Financial Services,GA, jodie oconnell,1,0,SC129,Core
252434,mlomedico,51213.4,180,Decline,FUN TOWN RV CORSICANA LP- TX451,Fun Town,TX,CORSICANA,2026-08-25,,,2020,RV,Used,,58.43,4.23,gott,,7,10.49,3000,10887.95,false,,,11.99,Core,Core,1.29,0,,0,39700,700,Source One Financial Services,TX, brenden boggs,0,0,TX451,Core
252319,ccampos,43403.82,180,Decline,Sunrise Camping Center - NC162,,NC,Hickory,2026-08-25,,,2017,RV,Used,,19.01,11.41,jsmith,,102,13.74,0,8500,false,,,14.74,Silver 1,Not Applicable,0.77,0,,0,56584,676,Ideal Credit Union,NC, dwight fowler,0,0,NC162,Not Applicable
252386,mlomedico,41425.27,180,Auto Approval,Campinawe LLC - KS129,,KS,Shawnee,2026-08-25,2026-08-27,,2026,RV,New,744,28.59,1.23,jweller,,2804,8.74,1995,3495,false,,,7.39,Core,Core,0.98,0,,0,42482,773,Source One Financial Services,KS,,1,1,KS129,Core
252212,hhisek,42618.55,204,Booked,COUNTRY TYME RV CENTER - TX170,,TX,GEORGETOWN,2026-08-25,2026-08-31,2026-09-02,2019,RV,Used,,35.77,2.76,gott,11715,8621,7.99,0,0,false,1122,1972,6.99,Core,Core,1.01,426.19,1,0,42350,872,Source One Financial Services,TX,,1,0,TX170,Core
252296,thovey,153955,240,Approved,Blue Compass RV - Springfield - MO229,Blue Compass,MO,Strafford,2026-08-25,2026-08-25,,2026,RV,New,765,24.18,6.06,jweller,,51,7.24,20000,20000,false,,,8.74,Core,Core,0.92,0,,0,167012,804,Source One Financial Services,MO, blaine sherrill,1,1,MO229,Core
252254,mlomedico,39655.61,180,Decline,General RV - Richmond - VA117,General RV,VA,Ashland,2026-08-25,,,2024,RV,Used,587,43.22,2.97,jsmith,,9,8.74,10000,10000,false,,,10.24,Core,Core,0.68,0,,0,57907,769,Source One Financial Services,VA, joey gormus,0,0,VA117,Core
252333,sbaker,112203.16,240,Auto Approval,Johnston RV Center - AL134,,AL,Decatur,2026-08-25,2026-08-25,,2025,RV,New,660,40.08,7.22,jsmith,,88,9.24,2000,21070.42,false,,,10.74,Core,Core,1.07,0,,0,105279,729,Source One Financial Services,TN, marcus clarke,1,1,AL134,Core
252265,hhisek,39878.89,180,Decline,Clear Creek Camping LLC-TX396,,TX,Abilene,2026-08-25,,,2026,RV,Used,,31.58,6.5,gott,,9,12.49,2000,3500,false,,,13.49,Silver 1,Silver 1,0.9,0,,0,44550,667,Source One Financial Services,TX, clay anderson,0,0,TX396,Silver
252228,ahunt,28374.42,120,Auto Approval,NXTLVL Marine LLC - TX502,,TX,New Braunfels,2026-08-25,2026-08-25,,2027,Boat,New,,24.25,3.4,gott,,42,9.74,6000,6000,false,,,11.24,Core,Core,0.73,0,,0,38892.84,729,Source One Financial Services,TX, melanie stehling,1,1,TX502,Core
252406,hhisek,54380,204,Booked,Fun Town RV- Waco-TX212,Fun Town,TX,Hewitt,2026-08-25,2026-08-28,2026-08-31,2027,RV,New,655,22.32,5.15,gott,8627,4069,7.49,1000,1000,false,4502,56,8.99,Core,Core,1.24,3262.8,6,0,43941,851,Source One Financial Services,TX, eric cuffee,1,0,TX212,Core
252303,ahunt,118914.98,240,Auto Approval,RV'S OF AMERICA - COLORADO SPRINGS  - CO150,,CO,COLORADO SPRINGS,2026-08-25,2026-08-25,,2026,RV,New,,24.41,5.75,dzilberchtein,,138,7.49,5000,11200,false,,,8.99,Core,Core,1.14,0,,0,104671,810,Source One Financial Services,CO, anthony downs,1,1,CO150,Core
252379,,36985,144,Auto Decline,O'CONNELL YACHTS-SC129,,SC,Boiling Springs,2026-08-25,,,2023,Boat,Used,,40.8,1.5,jsmith,,0,15.74,3890,3890,false,,,16.74,Silver 2,Silver 2,1.32,0,,0,28000,627,Source One Financial Services,GA,,0,0,SC129,Silver
252175,hhisek,61722.56,240,Decline,BLUE COMPASS RV - SOUTH HOUSTON  - TX421,Blue Compass,TX,Alvin,2026-08-25,,,2026,RV,New,,15.52,5.37,gott,,11,13.74,0,16000,false,,,14.74,Silver 1,Silver 1,0.96,0,,0,64364,641,Source One Financial Services,TX, lucy anzaldua,0,0,TX421,Silver
252423,lgrace,32931.56,180,Auto Approval,Keystone RV Center  - PA110,Pete's RV,PA,Greencastle,2026-08-25,2026-08-25,,2026,RV,New,701,28.18,3.72,jharrington1,,20,7.49,4000,4000,false,,,8.99,Core,Core,0.87,0,,0,37993,802,Source One Financial Services,WV, jen habina,1,1,PA110,Core
252320,mnava,56497.56,240,Booked,Rocky Ridge - Idabel - OK149,Rocky Ridge,OK,Idabel,2026-08-25,2026-08-27,2026-08-31,2026,RV,New,673,40.08,4.75,jweller,8940,3119,8.74,4483,15055,false,5820,1,8.99,Core,Core,0.89,564.98,1,0,63743,719,Source One Financial Services,TX, nash archuleta,1,0,OK149,Core
252444,eavila,52581.25,180,Booked,Fun Town RV-Giddings -TX314,Fun Town,TX,Giddings,2026-08-25,2026-08-28,2026-08-28,2027,RV,New,,35.37,4.47,gott,3932,3893,10.24,6298.67,6323.79,false,14,25,11.74,Core,Core,1.39,3154.88,6,0,37858,699,Source One Financial Services,TX, thomas jordan,1,0,TX314,Core
252269,,9442.1,120,Auto Decline,PPL MOTORHOMES - CLEBURNE - TX440,,TX,CLEBURNE,2026-08-25,,,2021,RV,Used,,49.48,2.43,gott,,0,15.49,900,900,false,,,15.99,Silver 1,Silver 1,0.61,0,,0,15565,652,Source One Financial Services,TX,,0,0,TX440,Silver
252338,Jhill,44830.9,240,Approved,SMITH MOTOR CO OF HATTIESBURG INC - MS107,,MS,HATTIESBURG,2026-08-25,2026-08-25,,2027,Boat,New,,21.24,6.67,jsmith,,14,9.74,13000,13000,false,,,11.24,Core,Core,0.82,0,,0,54963.72,728,Source One Financial Services,VA, lisa hartfield,1,1,MS107,Core
252275,avera,180253.58,240,Auto Approval,QUALITY BOATS OF CHARLOTTE HARBOR - FL203,OneWater,FL,ENGLEWOOD,2026-08-25,2026-09-01,,2017,Boat,Used,780,40.17,6.91,wstoutimore,,10198,8.24,18500,18500,false,,,9.74,Core,Core,0.9,0,,0,201255,857,Source One Financial Services,MD, josh van ness,1,1,FL203,Core
252159,sflynn,26519.52,180,Booked,Ashley Marine LLC - GA147,,GA,Columbus,2026-08-25,2026-08-29,2026-08-31,2026,Boat,New,,46.66,4.88,jsmith,9263,5921,8.74,500,3500,false,3341,1,7.39,Core,Core,0.87,265.2,1,0,30536,771,Source One Financial Services,GA, james pressley,1,0,GA147,Core
252162,hhisek,57746.56,180,Conditional Approval,Fun Town RV-Denton -TX322,Fun Town,TX,Denton,2026-08-25,2026-08-25,,2026,RV,New,,21.66,7.75,gott,,85,10.99,20000,20000,false,,,10.99,Silver 1,Not Applicable,0.7,0,,0,82892,679,Connexus Credit Union,TX, jacob redante,1,1,TX322,Not Applicable
252376,rsimmons,54044.32,204,Booked,Blue Compass RV - Katy - TX571,Blue Compass,TX,Katy,2026-08-25,2026-08-27,2026-09-01,2026,RV,New,,38.03,5.02,gott,9951,3098,9.99,1500,5900,false,6853,0,9.99,Core,Core,1.2,0,0,0,45091,693,Source One Financial Services,TX, eddie johnson,1,0,TX571,Core
252350,pmeza,56193.78,180,Decline,Bob Hurley RV-Tulsa OK137,,OK,Tulsa,2026-08-25,,,2022,RV,Used,,37.95,4.98,jweller,,35,22.99,7000,7000,false,,,23.99,Not Applicable,Not Applicable,0.95,0,,0,59034,544,Ideal Credit Union,KS, ryan jensen,0,0,OK137,Not Applicable
252325,eavila,24340,204,Auto Approval,BRETZ RV & MARINE - BILLINGS - MT115,Bretz RV,MT,Billings,2026-08-25,2026-08-29,,2027,RV,New,,19.43,1,dzilberchtein,,5670,8.99,3000,20559,false,,,9.99,Core,Core,0.77,0,,0,31492,732,Source One Financial Services,MT, nikolaus hinebauch,1,1,MT115,Core
252357,eavila,41713,180,Booked,"Kris Willis RV, LLC -MO127",,MO,Dexter,2026-08-25,2026-08-26,2026-08-31,2027,RV,New,,23.23,2.14,jweller,8839,1633,7.99,2500,16493,false,6009,1197,8.74,Core,Not Applicable,0.91,1251.39,3,0,46055,729,Connexus Credit Union,MO, mikayla hall,1,0,MO127,Not Applicable
252224,pmeza,32798.26,204,Booked,Gregg Orr Marine -TX365,,TX,TEXARKANA,2026-08-25,2026-08-27,2026-08-27,2026,Boat,New,,34.45,6.94,jweller,2993,2973,11.99,3000,3000,false,20,0,12.99,Silver 1,Silver 1,1.26,1311.93,4,0,26039,671,Source One Financial Services,TX, adam henderson,1,0,TX365,Silver
252285,mlomedico,17976.52,144,Auto Approval,GEORGIA RV OUTLET LLC - GA107,,GA,CARTERSVILLE,2026-08-25,2026-09-01,,2017,RV,Used,,21.02,2.59,jsmith,,9959,12.24,3600,3600,false,,,12.99,Core,Core,1.22,0,,0,14750,681,Source One Financial Services,GA, shawn deuber,1,1,GA107,Core
252340,,22924.93,180,Auto Decline,Blue Compass RV - Bowling Green - KY152,Blue Compass,KY,Bowling Green,2026-08-25,,,2021,RV,Used,,57.24,7.52,jharrington1,,0,13.24,2000,2000,false,,,14.24,Silver 1,Silver 1,1.06,0,,0,21700,671,Source One Financial Services,IN,,0,0,KY152,Silver
